source_file,service_code,line_name,vehicle_journey_code,line_ref,route_description,direction,scheduled_departure_time,operating_days,scheduled_duration_minutes,operating_day,calendar_date,hour,delay_minutes,synthetic_latitude,synthetic_longitude
20-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_15_20260719-BODS_V1_1.xml,PC1033334:15,20,VJ977,SCMY:PC1033334:15:21,Northwood - Liverpool,inbound,17:11:00,"Monday,Tuesday,Wednesday,Thursday,Friday",81.0,Wednesday,2025-08-06,17,6.07,53.366420208618116,-2.9610812607499204
CH84-None--SCMY-CZ-2026-03-29-Chester_March_2026_(Start_Again)-Fi__SCMY_PC1033334_535_20260405-BODS_V1_1.xml,PC1033334:535,84,VJ1289,SCMY:PC1033334:535:84,"Crewe Bus Station, 5 - Chester Bus Interchange",inbound,18:05:00,"Monday,Tuesday,Wednesday,Thursday,Friday",83.0,Wednesday,2026-04-08,18,9.45,53.31573688507479,-2.864993077687494
17-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_12_20260719-BODS_V1_1.xml,PC1033334:12,17,VJ2285,SCMY:PC1033334:12:17,Liverpool - Aintree Hosp,outbound,14:43:00,"Monday,Tuesday,Wednesday,Thursday,Friday",44.0,Thursday,2025-11-13,14,2.5,53.406359827394844,-2.847686208858779
86C-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_120_20260103-BODS_V1_1.xml,PC1033334:120,86,VJ1823,SCMY:PC1033334:120:86,South Parkway - Liverpool ONE,inbound,14:01:00,"Monday,Tuesday,Wednesday,Thursday,Friday",42.0,Wednesday,2026-01-14,14,0.81,53.447276577678316,-2.890152361145577
19-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_14_20260719-BODS_V1_1.xml,PC1033334:14,19,VJ209,SCMY:PC1033334:14:19,Liverpool - Kirkby,inbound,21:09:00,"Monday,Tuesday,Wednesday,Thursday,Friday",43.0,Monday,2025-10-06,21,2.03,53.36006201777654,-2.9393130082667254
217-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_113_20260719-BODS_V1_1.xml,PC1033334:113,217,VJ2569,SCMY:PC1033334:113:217,Huyton - Tower Hill,inbound,09:20:00,"Monday,Tuesday,Wednesday,Thursday,Friday",53.0,Tuesday,2025-12-09,9,5.95,53.347423552954915,-2.876562381584546
19-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_14_20260719-BODS_V1_1.xml,PC1033334:14,19,VJ332,SCMY:PC1033334:14:19,Liverpool - Kirkby,inbound,22:09:00,Saturday,43.0,Saturday,2025-08-09,22,13.57,53.4508863452193,-2.7795836765280173
82-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_106_20260103-BODS_V1_1.xml,PC1033334:106,82,VJ2785,SCMY:PC1033334:106:82,Paradise St - Garston,outbound,00:03:00,"Monday,Tuesday,Wednesday,Thursday,Friday",33.0,Thursday,2025-08-07,0,0.0,53.47862268034816,-2.7359496520779953
20-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_15_20260103-BODS_V1_1.xml,PC1033334:15,20,VJ3149,SCMY:PC1033334:15:21,Queen Square Bus Station - Minstead Avenue,outbound,10:37:00,"Monday,Tuesday,Wednesday,Thursday,Friday",58.0,Friday,2025-10-03,10,12.02,53.33096915350983,-2.8046042515290335
17-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_12_20260719-BODS_V1_1.xml,PC1033334:12,17,VJ2433,SCMY:PC1033334:12:17,Liverpool - Kirby Ind Est,inbound,15:45:00,Saturday,40.0,Saturday,2026-01-24,15,16.1,53.31079018864311,-2.856965624453054
10A-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_5_20260719-BODS_V1_1.xml,PC1033334:5,10A,VJ2768,SCMY:PC1033334:5:10A,Liverpool - St Helens,outbound,20:09:00,Sunday,66.0,Sunday,2025-08-31,20,0.51,53.38140105183788,-2.863466358350352
20-None--SCMY-GM-2025-08-31-Gillmoss_September_2025_LIVE_Van__SCMY_PC1033334_15_20260103-BODS_V1_1.xml,PC1033334:15,20,VJ3158,SCMY:PC1033334:15:21,Northwood - Liverpool,inbound,11:09:00,"Monday,Tuesday,Wednesday,Thursday,Friday",69.0,Monday,2026-05-04,11,-0.34,53.41489068002952,-2.6982237204036044
82-None--SCMY-GM-2026-07-26-Gillmoss_July_2026_EV_ADDED_FINAL__SCMY_PC1033334_106_20260719-BODS_V1_1.xml,PC1033334:106,82,VJ1879,SCMY:PC1033334:106:82,Paradise St - Garston Speke RdR,inbound,16:15:00,"Monday,Tuesday,Wednesday,Thursday,Friday",38.0,Friday,2026-03-13,16,0.72,53.465938170863176,-2.7841421485199724
