Version,ResponseTimestamp (ServiceDelivery),ProducerRef,ResponseTimestamp (VehicleMonitoringDelivery),RequestMessageRef,ValidUntil,ShortestPossibleCycle,RecordedAtTime,ItemIdentifier,ValidUntilTime,LineRef,DirectionRef,DataFrameRef,DatedVehicleJourneyRef,PublishedLineName,OperatorRef,OriginRef,OriginName,DestinationRef,DestinationName,OriginAimedDepartureTime,Longitude,Latitude,Bearing,VehicleRef,BlockRef,DriverRef
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T18:35:03+00:00,31ee70f9-41cc-42be-aceb-615e4abe597c,2026-07-11T20:17:18.024000+00:00,600,inbound,2026-07-11,5052,600,OXBC,340000009PR3,Thornhill__Thornhill_Park_and_Ride,340000008R8,Oxford_City_Centre__Frideswide_Square,2026-07-11T17:05:00+00:00,-1.268274,51.752828,-,80763,450161,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T18:23:15+00:00,26e9f03a-f9d6-4e05-ae0f-c372add2a45f,2026-07-11T20:17:18.024000+00:00,32,inbound,2026-07-11,5088,32,CSLB,040000003206,Micklefield_Estate__Woodside_Road,040000003384,Booker__Asda,2026-07-11T17:28:00+00:00,-0.780272,51.612228,-,80673,450088,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T18:26:58+00:00,f9d7aa1f-bbad-4fe0-8f63-db3ab358ad3b,2026-07-11T20:17:18.024000+00:00,X2,outbound,2026-07-11,5071,X2,THTR,340002072E4,Oxford_City_Centre__Westgate,340003334SRS,Didcot__Orchard_Centre,2026-07-11T17:15:00+00:00,-1.240246,51.606356,-,80684,1962,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T19:32:21+00:00,2351e5d4-7eea-441c-9a3d-6c9bda52446f,2026-07-11T20:17:18.024000+00:00,3,outbound,2026-07-11,5167,3,OXBC,340000006R6,Oxford_City_Centre__Railway_Station,340000023OVA,Rose_Hill__The_Oval,2026-07-11T19:10:00+00:00,-1.2335,51.725344,-,80714,12365,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T14:38:44+00:00,54e38b95-8817-4c59-b04b-c495e1248a38,2026-07-11T20:17:18.024000+00:00,1A,outbound,2026-07-11,5075,1A,CSLB,040000002956,High_Wycombe__High_Wycombe_BusStn,040000002175,Chesham__Townsend_Road,2026-07-11T14:45:00+00:00,-0.756711,51.631309,-,80889,80446,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T17:43:43+00:00,6feffdd8-9bc7-4732-91b1-4c84e474a89c,2026-07-11T20:17:18.024000+00:00,855,inbound,2026-07-11,5022,855,PULH,1600GLC002,Cirencester__The_Forum,160000214,Bourton_on_the_Water__Pulhams_Bus_Depot,2026-07-11T17:00:00+00:00,-1.756078,51.887078,17.0,80557,50443,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T17:45:15+00:00,b88b047f-6c37-4348-9398-eca4fadf4ee4,2026-07-11T20:17:18.024000+00:00,31,inbound,2026-07-11,5046,31,CSLB,040000001217,Beaconsfield_Old_Town__Aylesbury_End,040000002955,High_Wycombe__High_Wycombe_BusStn,2026-07-11T17:05:00+00:00,-0.756769,51.631327,-,80403,101077,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T19:26:48+00:00,91581714-fad4-4289-b8fc-dbb45fd850a0,2026-07-11T20:17:18.024000+00:00,101,inbound,2026-07-11,5176,101,CSLB,490005185N,Uxbridge__York_Road__UB8_,040000002153,Amersham__Amersham_Station,2026-07-11T18:35:00+00:00,-0.607958,51.674364,-,80471,80476,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T20:12:07+00:00,78969095-b750-455c-909d-ae2650de8471,2026-07-11T20:17:18.024000+00:00,100,outbound,2026-07-11,5121,100,OXBC,340001989S2,Oxford_City_Centre__Speedwell_Street,340000008JR3,John_Radcliffe_Hospital__JR_Hospital_Main_Entrance,2026-07-11T20:05:00+00:00,-1.249363,51.752465,105.0,80715,14059,-
2.0,2026-07-11T20:12:18.024000+00:00,DepartmentForTransport,2026-07-11T20:12:18.024000+00:00,9684b3e6-7272-46a2-9f03-9b0f3c4c7560,2026-07-11T20:17:18.024000+00:00,PT5S,2026-07-11T15:25:59+00:00,16d06a42-24e2-4e14-b460-0ec03da5756a,2026-07-11T20:17:18.024000+00:00,K,outbound,2026-07-11,5013,K,PULH,1600GLA06130,Cheltenham__Royal_Well_Bus_Station,1600GLA473,Benhall__Notgrove_Close,2026-07-11T15:00:00+00:00,-2.113353,51.893514,275.0,80573,99938,-
